[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-10 14:42:51,     ?,     ?,     ?,     ?,66.42M,26.00 
2020-08-10 14:42:52, 1.00 ,16.37K, 0.00 , 0.00 ,66.34M,28.00 
2020-08-10 14:42:53, 0.00 , 0.00 , 0.00 , 0.00 ,66.34M,28.00 
2020-08-10 14:42:54, 0.00 , 0.00 , 0.00 , 0.00 ,66.34M,28.00 
2020-08-10 14:42:55,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:42:56,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:42:57,3.000000,71280.640000,0.000000,0.0,69562531.84,28.0,3
2020-08-10 14:42:58,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:42:59,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:00,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:01,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:02,11.010000,54558.720000,0.000000,0.0,69562531.84,28.0,5
2020-08-10 14:43:03,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:04,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:05,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:06,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:07,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:08,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:09,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:10,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:11,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:12,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:13,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:14,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:15,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:16,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:17,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:18,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:19,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
2020-08-10 14:43:20,0.000000,0.000000,0.000000,0.0,69562531.84,28.0,0
