nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:48:40,     ?,     ?,     ?,     ?, 0.74G,35.66K
2020-07-17 10:48:41, 4.00 ,49.15K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:48:42, 2.00 ,24.54K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:48:43,0.000000,0.000000,0.000000,0.0,794568949.76,36515.84,0
2020-07-17 10:48:44,0.000000,0.000000,0.000000,0.0,794568949.76,36515.84,0
2020-07-17 10:48:45,0.000000,0.000000,0.000000,0.0,794568949.76,36515.84,0
2020-07-17 10:48:46,0.000000,0.000000,0.000000,0.0,794568949.76,36515.84,0
2020-07-17 10:48:47,5.000000,20981.760000,0.000000,0.0,794568949.76,36526.08,4
2020-07-17 10:48:48,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:49,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:50,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:51,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:52,7.000000,75540.480000,0.000000,0.0,794568949.76,36526.08,4
2020-07-17 10:48:53,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:54,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:55,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:56,1.000000,4188.160000,0.000000,0.0,794568949.76,36526.08,3
2020-07-17 10:48:57,16.000000,100679.680000,0.000000,0.0,794568949.76,36526.08,1
2020-07-17 10:48:58,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:48:59,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:49:00,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:49:01,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:49:02,9.000000,115343.360000,0.000000,0.0,794568949.76,36526.08,4
2020-07-17 10:49:03,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
2020-07-17 10:49:04,0.000000,0.000000,0.000000,0.0,794568949.76,36526.08,0
