[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-07 22:20:02,     ?,     ?,     ?,     ?,66.27M,24.00 
2020-08-07 22:20:03, 0.00 , 0.00 , 0.00 , 0.00 ,66.27M,24.00 
2020-08-07 22:20:04, 0.00 , 0.00 , 0.00 , 0.00 ,66.27M,24.00 
2020-08-07 22:20:05, 0.00 , 0.00 , 0.00 , 0.00 ,66.27M,24.00 
2020-08-07 22:20:06,0.000000,0.000000,0.000000,0.0,69499617.28,28.0,0
2020-08-07 22:20:07,1.000000,58808.320000,0.000000,0.0,69510103.04,25.0,2
2020-08-07 22:20:08,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:09,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:10,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:11,2.000000,58705.920000,0.000000,0.0,69510103.04,25.0,4
2020-08-07 22:20:12,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:13,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:14,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:15,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:16,11.000000,50329.600000,0.000000,0.0,69510103.04,25.0,5
2020-08-07 22:20:17,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:18,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:19,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:20,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:21,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:22,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:23,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:24,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:25,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:26,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:27,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:28,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:29,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:30,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
2020-08-07 22:20:31,0.000000,0.000000,0.000000,0.0,69510103.04,25.0,0
