[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-07 22:27:15,     ?,     ?,     ?,     ?,66.36M,24.00 
2020-08-07 22:27:16, 0.00 , 0.00 , 0.00 , 0.00 ,66.36M,24.00 
2020-08-07 22:27:17, 0.00 , 0.00 , 0.00 , 0.00 ,66.38M,28.00 
2020-08-07 22:27:18, 1.00 ,57.37K, 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:27:19,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:20,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:21,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:22,2.000000,50288.640000,0.000000,0.0,69593989.12,25.0,4
2020-08-07 22:27:23,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:24,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:25,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:26,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:27,9.990000,41891.840000,0.000000,0.0,69593989.12,25.0,5
2020-08-07 22:27:28,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:29,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:30,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:31,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:32,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:33,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:34,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:35,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:36,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:37,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:38,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:39,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:40,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:41,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:42,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:43,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:44,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:45,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:46,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:47,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:48,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:49,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:50,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:51,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:52,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:53,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:54,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:55,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:56,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:57,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:58,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:27:59,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:00,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:01,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:02,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:03,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:04,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:05,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:06,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:07,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:08,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:09,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:10,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:11,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:12,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:13,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:14,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:15,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:16,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:17,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:18,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:19,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:20,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:21,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:22,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:23,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:24,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:25,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:26,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:27,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:28,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:29,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:30,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:31,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:32,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:33,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:34,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:35,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:36,0.000000,0.000000,0.000000,0.0,69593989.12,27.0,0
2020-08-07 22:28:37,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:38,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:39,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:40,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:41,5.000000,46141.440000,0.000000,0.0,69604474.88,28.0,74
2020-08-07 22:28:42,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:43,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:44,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:45,0.000000,0.000000,0.000000,0.0,69604474.88,28.0,0
2020-08-07 22:28:46,3.000000,12595.200000,0.000000,0.0,69604474.88,28.0,5
2020-08-07 22:28:47,3.000000,79687.680000,0.000000,0.0,69593989.12,25.0,1
2020-08-07 22:28:48,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:49,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:50,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:51,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:52,2.000000,41912.320000,0.000000,0.0,69593989.12,25.0,5
2020-08-07 22:28:53,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:54,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:55,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:56,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:57,7.000000,33536.000000,0.000000,0.0,69593989.12,25.0,5
2020-08-07 22:28:58,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:28:59,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:00,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:01,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:02,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:03,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:04,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:05,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:06,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:07,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:08,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:09,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:10,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:11,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:12,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:13,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:14,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:15,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:16,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:17,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:18,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:19,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:20,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:21,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:22,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:23,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:24,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:25,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:26,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:27,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:28,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:29,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:30,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:31,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:32,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:33,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:34,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:35,0.000000,0.000000,0.000000,0.0,69593989.12,25.0,0
2020-08-07 22:29:36,0.000000,0.000000,0.000000,0.0,69593989.12,27.0,0
