[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-10 04:06:47,     ?,     ?,     ?,     ?,66.43M,26.00 
2020-08-10 04:06:48, 0.00 , 0.00 , 0.00 , 0.00 ,66.43M,26.00 
2020-08-10 04:06:49, 0.00 , 0.00 , 0.00 , 0.00 ,66.45M,30.00 
2020-08-10 04:06:50, 0.00 , 0.00 , 0.00 , 0.00 ,66.45M,30.00 
2020-08-10 04:06:51,1.000000,58705.920000,0.000000,0.0,69667389.44,27.0,1
2020-08-10 04:06:52,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:06:53,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:06:54,2.000000,54517.760000,0.000000,0.0,69667389.44,27.0,3
2020-08-10 04:06:55,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:06:56,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:06:57,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:06:58,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:06:59,10.000000,46120.960000,0.000000,0.0,69667389.44,27.0,5
2020-08-10 04:07:00,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:07:01,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
2020-08-10 04:07:02,0.000000,0.000000,0.000000,0.0,69667389.44,27.0,0
