[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-07 22:34:30,     ?,     ?,     ?,     ?,66.36M,24.00 
2020-08-07 22:34:31, 0.00 , 0.00 , 0.00 , 0.00 ,66.38M,28.00
2020-08-07 22:34:32, 0.00 , 0.00 , 0.00 , 0.00 ,66.42M,28.00 
2020-08-07 22:34:33, 1.00 ,57.36K, 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:34, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:35, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:36, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:37, 2.00 ,57.36K, 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:38, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:39, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:40, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:41, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:42,11.01 ,49.19K, 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:43, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:44, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:45, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:46, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:47, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:48, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:49, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:50, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:51, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:52, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:53, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:54, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:55, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:56, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:57, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:58, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:34:59, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:35:00, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:35:01, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:35:02, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:35:03, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
2020-08-07 22:35:04, 0.00 , 0.00 , 0.00 , 0.00 ,66.37M,25.00 
