[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-09 21:24:12,     ?,     ?,     ?,     ?,66.41M,26.00 
2020-08-09 21:24:13, 0.00 , 0.00 , 0.00 , 0.00 ,66.41M,26.00 
2020-08-09 21:24:14, 0.00 , 0.00 , 0.00 , 0.00 ,66.41M,26.00 
2020-08-09 21:24:15, 0.00 , 0.00 , 0.00 , 0.00 ,66.41M,26.00 
2020-08-09 21:24:16,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:17,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:18,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:19,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:20,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:21,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:22,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:23,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:24,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:25,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:26,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:27,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:28,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:29,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:30,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:31,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:32,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:33,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:34,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:35,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:36,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:37,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:38,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:39,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:40,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:41,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:42,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:43,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:44,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:45,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:46,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:47,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:48,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:49,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:50,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:51,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:52,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:53,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:54,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:55,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:56,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:57,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:58,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:24:59,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:00,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:01,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:02,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:03,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:04,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:05,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:06,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:07,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:08,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:09,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:10,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:11,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:12,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:13,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:14,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:15,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:16,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:17,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:18,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:19,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:20,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:21,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:22,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:23,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:24,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:25,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:26,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:27,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:28,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:29,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:30,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:31,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:32,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:33,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:34,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:35,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:36,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:37,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:38,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:39,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:40,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:41,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:42,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:43,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:44,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:45,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:46,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:47,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:48,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:49,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:50,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:51,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:52,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:53,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:54,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:55,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:56,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:57,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:58,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:25:59,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:00,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:01,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:02,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:03,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:04,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:05,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:06,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:07,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:08,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:09,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:10,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:11,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:12,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:13,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:14,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:15,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:16,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:17,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:18,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:19,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:20,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:21,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:22,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:23,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:24,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:25,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:26,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:27,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:28,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:29,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:30,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:31,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:32,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:33,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:34,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:35,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:36,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:37,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:38,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:39,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:40,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:41,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:42,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:43,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:44,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:45,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:46,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:47,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:48,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:49,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:50,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:51,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:52,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:53,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:54,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:55,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:56,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:57,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:58,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:26:59,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:00,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:01,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:02,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:03,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:04,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:05,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:06,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:07,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:08,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:09,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:10,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:11,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:12,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:13,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:14,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:15,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:16,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:17,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:18,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:19,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:20,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:21,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:22,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:23,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:24,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:25,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:26,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:27,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:28,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
2020-08-09 21:27:29,0.000000,0.000000,0.000000,0.0,69635932.16,26.0,0
